RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
185,Cam Thomas,Bro,G,21.5,57.0,16.6,27.9,12.1,174.0,0.868,323.0,0.464,133.0,0.383,0.497,0.567,10.6,1.7,1.4,0.4,0.1,1.1,12.3,12.0,13.6,7.1,107.9,114.3,0.549
186,Svi Mykhailiuk,Cha,G-F,25.8,19.0,22.5,19.5,12.0,34.0,0.676,72.0,0.486,89.0,0.404,0.553,0.571,10.6,2.4,2.7,0.7,0.2,1.2,13.0,13.3,15.7,7.3,114.1,115.5,0.329
187,Jalen McDaniels,Cha,F-C,25.2,56.0,26.7,17.4,13.8,104.0,0.846,292.0,0.534,202.0,0.322,0.513,0.551,10.6,4.8,2.0,1.2,0.5,1.4,15.4,12.6,17.4,7.0,106.4,106.7,0.329
188,Moritz Wagner,Orl,F-C,26.0,57.0,19.5,21.1,14.6,182.0,0.841,233.0,0.631,163.0,0.313,0.564,0.63,10.5,4.5,1.5,0.6,0.2,1.2,15.1,12.0,16.5,8.5,122.3,103.0,0.415
189,Grayson Allen,Mil,G,27.5,72.0,27.4,14.6,11.4,126.0,0.905,191.0,0.518,366.0,0.399,0.571,0.612,10.4,3.3,2.3,0.9,0.2,1.0,13.7,12.7,16.0,6.3,123.5,110.0,0.707
190,Cameron Payne,Pho,G,28.7,48.0,20.2,24.8,15.2,64.0,0.766,268.0,0.448,185.0,0.368,0.49,0.512,10.3,2.2,4.5,0.7,0.2,1.7,12.5,14.7,16.9,9.3,106.0,108.4,0.549
191,Monte Morris,Was,G,27.8,62.0,27.4,15.6,10.4,77.0,0.831,311.0,0.543,204.0,0.382,0.555,0.579,10.3,3.4,5.3,0.7,0.2,1.0,13.6,15.5,18.9,8.3,125.2,115.5,0.427
192,Tyus Jones,Mem,G,26.9,80.0,24.2,17.7,9.4,100.0,0.8,384.0,0.495,326.0,0.371,0.523,0.546,10.3,2.5,5.2,1.0,0.1,0.9,12.8,15.5,18.0,8.5,122.1,114.8,0.622
193,Killian Hayes,Det,G,21.7,76.0,28.3,20.5,17.5,112.0,0.821,529.0,0.429,286.0,0.28,0.426,0.455,10.3,2.9,6.2,1.4,0.4,2.3,13.3,16.5,19.4,8.1,98.6,111.5,0.207
194,Patrick Williams,Chi,F,21.6,82.0,28.3,15.7,13.0,105.0,0.857,400.0,0.498,277.0,0.415,0.549,0.576,10.2,4.0,1.2,0.9,0.9,1.2,14.1,11.4,15.4,5.2,108.8,110.0,0.488
195,Doug McDermott,San,F,31.3,64.0,20.5,19.2,10.0,70.0,0.757,225.0,0.516,298.0,0.413,0.575,0.59,10.2,2.2,1.4,0.2,0.1,0.9,12.4,11.6,13.8,6.2,112.9,116.6,0.268
196,Josh Hart,Nyk,G,28.1,25.0,30.0,12.6,19.5,57.0,0.789,105.0,0.619,52.0,0.519,0.672,0.703,10.2,7.0,3.6,1.4,0.5,1.5,17.3,13.8,20.9,8.5,135.9,106.7,0.573
197,Malaki Branham,San,F,19.9,66.0,23.5,19.1,11.1,70.0,0.829,355.0,0.538,255.0,0.302,0.502,0.524,10.2,2.7,1.9,0.5,0.1,1.2,12.9,12.1,14.8,6.4,103.2,117.3,0.268
198,Aaron Nesmith,Ind,G-F,23.5,73.0,24.9,16.8,11.2,142.0,0.838,276.0,0.496,313.0,0.367,0.525,0.566,10.1,3.8,1.3,0.8,0.5,1.0,13.9,11.5,15.2,5.9,111.7,109.0,0.427
