RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
46,Brandon Miller,Cha,F,22.4,27.0,34.2,27.7,13.4,79.0,0.861,198.0,0.475,293.0,0.355,0.509,0.54,21.0,4.9,3.6,1.1,0.7,2.8,25.9,24.7,29.5,8.4,104.0,112.3,0.241
47,Kawhi Leonard,Lac,F,33.8,34.0,30.9,27.9,10.4,108.0,0.806,387.0,0.537,173.0,0.405,0.559,0.587,21.0,5.8,3.0,1.5,0.5,1.9,26.7,24.0,29.7,9.3,113.5,107.8,0.595
48,Coby White,Chi,G,25.1,71.0,33.3,24.5,13.4,296.0,0.899,515.0,0.546,575.0,0.374,0.554,0.604,20.7,3.6,4.5,1.0,0.2,2.4,24.3,25.2,28.8,8.3,114.8,115.2,0.456
49,Anthony Davis,Dal,F-C,32.1,7.0,28.9,32.5,10.3,41.0,0.683,98.0,0.5,23.0,0.261,0.479,0.518,20.6,9.6,3.4,0.7,1.7,2.0,30.1,24.0,33.6,12.1,105.3,108.5,0.481
50,Jordan Poole,Was,G,25.8,67.0,29.6,28.9,16.2,272.0,0.882,427.0,0.511,615.0,0.377,0.543,0.591,20.5,3.0,4.5,1.3,0.4,3.0,23.5,24.9,28.0,8.8,109.2,114.2,0.215
51,Darius Garland,Cle,G,25.2,73.0,30.7,27.2,14.0,246.0,0.882,626.0,0.526,514.0,0.399,0.558,0.597,20.4,2.9,6.7,1.2,0.2,2.5,23.3,27.1,30.0,9.6,120.4,111.3,0.797
52,Miles Bridges,Cha,F,27.0,63.0,31.7,28.0,11.0,250.0,0.868,632.0,0.516,444.0,0.313,0.497,0.542,20.4,7.5,3.9,0.7,0.7,2.1,28.0,24.3,31.8,10.6,110.2,114.0,0.241
53,Pascal Siakam,Ind,F,31.0,76.0,32.6,24.4,8.5,304.0,0.737,832.0,0.57,321.0,0.386,0.572,0.6,20.3,6.9,3.4,0.9,0.5,1.4,27.2,23.7,30.6,9.6,120.4,110.6,0.608
54,Austin Reaves,Lal,G,26.9,70.0,34.9,23.8,14.2,350.0,0.883,487.0,0.546,513.0,0.374,0.554,0.614,20.2,4.5,5.8,1.1,0.3,2.4,24.7,26.0,30.5,9.3,121.6,112.6,0.608
55,Andrew Wiggins,Mia,F,30.1,15.0,33.0,26.9,14.9,71.0,0.761,138.0,0.529,90.0,0.367,0.537,0.577,19.9,4.1,3.2,1.1,1.1,2.7,24.0,23.1,27.2,7.7,107.5,111.5,0.456
56,De'Aaron Fox,San,G,27.3,17.0,34.0,26.0,12.8,72.0,0.819,185.0,0.535,95.0,0.274,0.493,0.537,19.7,4.3,6.8,1.5,0.3,2.4,24.0,26.5,30.8,9.8,110.9,112.7,0.405
57,Anfernee Simons,Por,G,25.8,70.0,32.7,24.6,11.3,194.0,0.902,532.0,0.496,593.0,0.363,0.521,0.557,19.3,2.7,4.8,0.9,0.1,2.0,22.0,24.1,26.8,7.7,114.7,116.7,0.443
58,Kristaps Porzingis,Bos,F-C,29.7,40.0,28.8,25.7,8.6,187.0,0.813,314.0,0.545,230.0,0.404,0.571,0.617,19.3,6.9,2.1,0.8,1.6,1.3,26.2,21.4,28.3,9.1,124.8,103.1,0.747
59,Alperen Sengun,Hou,C,22.7,75.0,31.6,26.2,14.7,428.0,0.692,1039.0,0.519,90.0,0.233,0.505,0.545,19.2,10.4,4.9,1.1,0.8,2.6,29.6,24.1,34.5,12.6,115.2,101.9,0.658
60,Domantas Sabonis,Sac,F-C,28.9,67.0,34.7,21.7,18.6,286.0,0.752,708.0,0.629,149.0,0.403,0.624,0.654,19.2,13.9,6.1,0.7,0.4,2.9,33.1,25.3,39.2,13.6,127.3,105.9,0.494
61,Desmond Bane,Mem,G,26.8,66.0,31.9,23.3,14.3,191.0,0.89,575.0,0.548,395.0,0.385,0.56,0.596,19.0,6.1,5.4,1.2,0.4,2.5,25.1,24.4,30.5,10.7,118.0,109.2,0.595
62,De'Andre Hunter,Atl,F-G,27.3,37.0,28.7,24.2,10.7,176.0,0.858,245.0,0.531,247.0,0.393,0.56,0.616,19.0,3.9,1.5,0.8,0.1,1.6,22.9,20.5,24.4,6.7,117.2,112.7,0.468
63,John Collins,Uta,F-C,27.5,40.0,30.5,24.2,16.2,164.0,0.848,383.0,0.577,148.0,0.399,0.583,0.628,19.0,8.2,2.0,1.0,1.0,2.6,27.1,21.0,29.1,8.9,115.2,111.7,0.203
64,Lauri Markkanen,Uta,F-C,27.9,47.0,31.4,24.0,8.6,185.0,0.876,301.0,0.525,399.0,0.346,0.521,0.571,19.0,5.9,1.5,0.7,0.4,1.4,24.9,20.5,26.4,7.0,114.8,118.6,0.203
65,Scottie Barnes,Tor,F-G,23.7,62.0,33.0,26.7,15.0,290.0,0.769,730.0,0.505,270.0,0.263,0.476,0.521,18.9,7.6,5.8,1.5,1.0,2.9,26.5,24.8,32.4,11.4,106.5,111.4,0.367
66,Jalen Johnson,Atl,F,23.3,36.0,35.7,22.5,16.3,126.0,0.746,402.0,0.565,141.0,0.312,0.54,0.568,18.9,10.0,5.0,1.6,1.0,2.9,28.9,23.9,33.9,11.0,109.5,111.8,0.468
67,Cameron Johnson,Bro,F,29.1,57.0,31.6,23.0,11.7,225.0,0.893,339.0,0.578,408.0,0.39,0.582,0.632,18.8,4.3,3.4,0.9,0.4,1.7,23.1,22.2,26.5,8.2,122.7,114.5,0.329
68,Julius Randle,Min,F-C,30.4,65.0,32.2,25.2,17.0,333.0,0.805,595.0,0.553,292.0,0.332,0.535,0.589,18.7,7.0,4.7,0.7,0.2,2.8,25.7,23.4,30.4,10.6,116.3,107.0,0.582
69,Nikola Vucevic,Chi,C,34.5,70.0,31.4,22.4,10.2,147.0,0.803,685.0,0.591,313.0,0.403,0.595,0.614,18.7,10.1,3.4,0.8,0.7,1.6,28.7,22.1,32.1,11.0,121.6,110.1,0.456
70,Evan Mobley,Cle,C,23.8,69.0,30.5,23.1,13.7,289.0,0.727,659.0,0.627,219.0,0.37,0.609,0.636,18.5,9.2,3.1,0.8,1.6,2.0,27.8,21.7,30.9,10.6,124.0,106.6,0.797
71,Tyrese Haliburton,Ind,G,25.1,71.0,33.6,21.6,10.7,207.0,0.855,435.0,0.579,544.0,0.388,0.581,0.614,18.5,3.5,9.3,1.5,0.6,1.6,22.0,27.8,31.3,10.1,130.2,116.0,0.608
72,Collin Sexton,Uta,G,26.3,62.0,28.0,26.9,15.5,248.0,0.863,583.0,0.515,270.0,0.407,0.545,0.595,18.5,2.8,4.2,0.7,0.1,2.5,21.2,22.6,25.4,8.6,114.6,117.7,0.203
73,Dennis Schroder,Bro,G,31.6,23.0,33.6,23.8,15.3,81.0,0.889,175.0,0.509,150.0,0.387,0.542,0.588,18.4,3.0,6.6,1.1,0.2,2.6,21.4,25.0,28.0,8.5,116.0,113.3,0.329
74,Shaedon Sharpe,Por,G,21.9,71.0,31.2,25.0,11.8,232.0,0.797,621.0,0.556,460.0,0.307,0.515,0.549,18.3,4.5,2.7,0.8,0.2,2.0,22.7,21.0,25.5,7.8,109.2,114.9,0.443
75,Michael Porter Jr.,Den,F,26.8,74.0,33.8,20.3,9.1,186.0,0.769,541.0,0.601,473.0,0.393,0.596,0.616,18.3,7.0,2.2,0.7,0.5,1.4,25.2,20.5,27.4,7.8,121.3,113.6,0.595
76,O.G. Anunoby,Nyk,F-G,27.7,72.0,36.5,19.6,8.9,218.0,0.821,550.0,0.562,446.0,0.379,0.565,0.597,18.1,4.8,2.2,1.5,0.9,1.3,22.9,20.3,25.1,6.3,119.2,111.5,0.633
77,Bam Adebayo,Mia,C-F,27.7,76.0,34.4,23.6,12.8,317.0,0.767,874.0,0.518,212.0,0.344,0.518,0.558,18.0,9.6,4.3,1.3,0.7,2.1,27.6,22.3,32.0,10.5,114.5,107.4,0.456
78,Mikal Bridges,Nyk,G-F,28.6,78.0,37.5,19.6,10.0,111.0,0.811,695.0,0.594,450.0,0.356,0.57,0.585,17.9,3.2,3.7,0.9,0.5,1.6,21.1,21.6,24.8,6.4,116.2,116.3,0.633
79,Jaden Ivey,Det,G,23.1,30.0,29.9,26.0,17.7,116.0,0.733,259.0,0.49,154.0,0.409,0.536,0.569,17.6,4.1,4.0,0.9,0.4,3.0,21.7,21.6,25.7,8.8,107.3,110.6,0.544
80,Andrew Wiggins,Gol,F,30.1,43.0,30.1,23.4,8.7,179.0,0.777,340.0,0.491,248.0,0.379,0.524,0.566,17.6,4.6,2.3,0.9,0.8,1.3,22.1,19.9,24.5,7.6,115.7,111.8,0.595
81,Dejounte Murray,Nor,G,28.5,31.0,32.7,27.3,17.5,124.0,0.823,320.0,0.444,174.0,0.299,0.445,0.494,17.5,6.5,7.4,2.0,0.4,3.4,23.9,24.8,31.3,11.5,101.4,114.3,0.266
82,Immanuel Quickley,Tor,G,25.8,32.0,28.2,25.3,11.8,128.0,0.867,212.0,0.462,220.0,0.377,0.515,0.569,17.4,3.6,5.9,0.7,0.1,1.8,21.0,23.3,26.9,10.2,118.8,113.5,0.367
83,Malik Monk,Sac,G,27.2,65.0,31.6,24.6,14.5,178.0,0.865,511.0,0.534,428.0,0.325,0.513,0.549,17.2,3.8,5.6,0.9,0.6,2.4,21.0,22.8,26.5,9.1,109.8,112.6,0.494
84,Jimmy Butler,Gol,F,35.6,26.0,32.5,20.7,12.6,187.0,0.866,230.0,0.513,62.0,0.258,0.486,0.596,17.2,5.9,5.8,1.7,0.3,1.6,23.0,23.0,28.9,10.3,131.0,113.0,0.595
85,Bradley Beal,Pho,G,31.8,50.0,32.2,22.2,12.5,132.0,0.795,415.0,0.564,241.0,0.382,0.567,0.594,17.0,3.4,3.6,1.1,0.6,1.9,20.4,20.6,24.0,7.4,113.8,115.4,0.443
86,Jimmy Butler,Mia,F,35.6,25.0,30.6,21.1,10.2,161.0,0.801,227.0,0.568,36.0,0.361,0.565,0.638,17.0,5.2,4.8,1.1,0.4,1.2,22.3,21.8,27.1,9.8,135.8,114.4,0.456
87,Keyonte George,Uta,G,21.4,64.0,31.2,24.3,16.2,273.0,0.813,386.0,0.456,485.0,0.348,0.493,0.545,16.9,3.8,5.6,0.7,0.1,2.6,20.7,22.5,26.2,9.1,109.8,119.6,0.203
88,Deni Avdija,Por,F,24.3,72.0,30.0,23.2,18.8,372.0,0.78,502.0,0.552,342.0,0.365,0.55,0.605,16.9,7.3,3.9,1.0,0.5,2.7,24.2,20.8,28.1,10.4,115.7,109.2,0.443
89,Devin Vassell,San,G-F,24.6,62.0,31.1,22.2,8.7,119.0,0.798,455.0,0.512,415.0,0.371,0.533,0.555,16.5,4.0,2.9,1.3,0.5,1.3,20.5,19.4,23.4,7.4,109.8,115.5,0.405
90,Ivica Zubac,Lac,C,28.1,76.0,32.5,19.5,12.1,231.0,0.654,886.0,0.624,0.0,0.0,0.624,0.636,16.5,12.5,2.6,0.7,1.2,1.6,29.1,19.1,31.6,10.0,127.7,104.1,0.595
91,Derrick White,Bos,G,30.8,74.0,33.7,19.8,11.8,161.0,0.839,261.0,0.586,672.0,0.384,0.579,0.605,16.4,4.5,4.7,0.9,1.0,1.7,20.9,21.1,25.5,8.3,123.1,110.2,0.747
92,Jalen Suggs,Orl,G,23.8,35.0,28.6,27.5,17.5,110.0,0.882,239.0,0.506,242.0,0.314,0.489,0.536,16.2,4.0,3.7,1.5,0.9,2.9,20.2,19.9,23.9,8.7,100.9,102.7,0.494
93,Malik Beasley,Det,G,28.4,79.0,28.0,22.4,7.4,137.0,0.679,295.0,0.464,738.0,0.413,0.576,0.586,16.2,2.7,1.7,0.9,0.1,1.0,18.9,17.9,20.6,6.0,115.4,113.4,0.544
94,Jordan Clarkson,Uta,G,32.8,37.0,26.0,27.8,14.9,143.0,0.797,261.0,0.448,231.0,0.364,0.494,0.541,16.2,3.2,3.7,0.8,0.2,2.3,19.4,19.9,23.1,8.9,106.9,119.3,0.203
95,Paul George,Phi,F,34.9,41.0,32.5,23.5,15.7,97.0,0.814,302.0,0.493,268.0,0.358,0.514,0.543,16.2,5.3,4.3,1.8,0.5,2.6,21.6,20.6,25.9,8.8,104.2,112.3,0.291
96,Bennedict Mathurin,Ind,G-F,22.8,69.0,29.8,22.7,13.8,312.0,0.837,536.0,0.522,274.0,0.347,0.522,0.584,16.0,5.3,1.9,0.6,0.3,1.9,21.4,17.9,23.2,7.3,110.6,111.6,0.608
97,Myles Turner,Ind,C-F,29.0,69.0,30.4,20.7,13.1,223.0,0.776,404.0,0.559,381.0,0.402,0.58,0.614,15.7,6.6,1.6,0.8,1.9,1.7,22.3,17.3,23.8,7.2,113.0,109.0,0.608
98,Jonathan Kuminga,Gol,F,22.5,44.0,24.7,27.3,11.0,223.0,0.664,399.0,0.506,143.0,0.315,0.497,0.537,15.6,4.7,2.3,0.8,0.5,1.5,20.3,17.9,22.6,8.9,108.1,107.7,0.595
99,Mark Williams,Cha,C,23.3,42.0,26.6,21.3,12.9,163.0,0.804,421.0,0.62,3.0,0.0,0.616,0.659,15.5,10.2,2.5,0.7,1.2,1.5,25.7,18.0,28.2,11.0,129.3,106.3,0.241
100,Christian Braun,Den,G,24.0,76.0,33.9,15.8,9.2,204.0,0.824,576.0,0.646,217.0,0.396,0.632,0.663,15.4,5.2,2.5,1.1,0.5,1.1,20.6,17.9,23.1,6.9,131.1,113.6,0.595
101,Jared McCain,Phi,G,21.1,23.0,25.7,24.8,11.9,56.0,0.875,141.0,0.532,133.0,0.383,0.553,0.589,15.3,2.4,2.6,0.7,0.0,1.6,17.7,17.9,20.3,7.1,113.3,118.0,0.291
102,Kyle Kuzma,Was,F,29.7,32.0,27.7,27.0,13.8,98.0,0.602,295.0,0.495,160.0,0.281,0.469,0.488,15.2,5.8,2.5,0.6,0.2,2.3,21.0,17.7,23.4,8.7,92.9,116.8,0.215
103,Kelly Oubre Jr.,Phi,F-G,29.3,60.0,34.6,19.0,9.7,185.0,0.751,499.0,0.555,242.0,0.293,0.518,0.551,15.1,6.1,1.8,1.5,0.5,1.3,21.2,16.9,23.0,6.4,111.1,112.3,0.291
104,Chet Holmgren,Okc,C-F,22.9,30.0,27.4,21.9,14.5,118.0,0.737,206.0,0.558,111.0,0.378,0.562,0.6,14.8,8.1,1.9,0.7,2.3,1.8,22.9,16.7,24.8,8.9,114.5,100.8,0.823
105,Caris LeVert,Atl,G,30.6,23.0,26.6,21.1,7.3,60.0,0.733,147.0,0.599,121.0,0.331,0.552,0.577,14.8,3.6,2.9,1.0,0.6,0.9,18.4,17.7,21.3,8.1,118.5,113.7,0.468
106,P.J. Washington,Dal,F,26.6,55.0,32.3,20.4,14.9,192.0,0.729,415.0,0.494,230.0,0.374,0.518,0.554,14.7,7.8,2.3,1.1,1.1,2.1,22.5,16.9,24.7,7.9,106.4,109.8,0.481
107,Stephon Castle,San,G,20.4,77.0,26.3,26.1,14.9,314.0,0.72,622.0,0.497,318.0,0.283,0.472,0.517,14.5,3.6,3.9,0.9,0.2,2.1,18.1,18.4,22.1,8.9,104.6,113.9,0.405
108,Jakob Poeltl,Tor,C,29.5,57.0,29.6,18.7,16.1,144.0,0.674,576.0,0.628,3.0,0.333,0.628,0.641,14.5,9.6,2.8,1.2,1.2,1.9,24.1,17.2,26.8,9.9,121.0,105.0,0.367
109,Gradey Dick,Tor,G-F,21.4,54.0,29.4,21.0,11.4,155.0,0.858,321.0,0.47,326.0,0.35,0.498,0.543,14.4,3.6,1.8,0.9,0.2,1.5,18.0,16.2,19.8,6.2,106.5,112.8,0.367
110,Josh Giddey,Chi,G,22.5,69.0,30.1,21.7,20.3,221.0,0.778,507.0,0.509,272.0,0.375,0.528,0.567,14.4,8.0,7.1,1.2,0.6,2.9,22.4,21.5,29.5,12.4,114.9,112.1,0.456
111,Deandre Ayton,Por,C,26.7,40.0,30.1,19.5,12.8,60.0,0.667,436.0,0.594,32.0,0.188,0.573,0.583,14.4,10.2,1.6,0.8,1.0,1.7,24.6,16.0,26.2,8.2,113.8,108.8,0.443
112,Kyle Kuzma,Mil,F,29.7,29.0,33.2,21.2,15.6,98.0,0.663,224.0,0.522,133.0,0.301,0.496,0.524,14.4,6.0,2.4,0.5,0.4,2.3,20.5,16.8,22.9,7.1,97.6,110.1,0.57
113,Jerami Grant,Por,F,31.1,47.0,32.4,19.5,10.2,166.0,0.849,278.0,0.381,296.0,0.365,0.467,0.523,14.4,3.5,2.1,0.9,1.0,1.4,17.9,16.6,20.0,5.8,108.9,113.7,0.443
114,Naz Reid,Min,C-F,25.6,76.0,27.6,21.6,10.6,137.0,0.766,438.0,0.541,444.0,0.383,0.558,0.578,14.3,6.0,2.3,0.8,0.9,1.4,20.3,16.6,22.6,8.4,114.2,104.8,0.582
115,Dyson Daniels,Atl,G,22.1,73.0,33.9,18.2,14.0,134.0,0.597,662.0,0.544,229.0,0.349,0.539,0.547,14.2,5.8,4.3,3.0,0.7,2.0,20.1,18.5,24.4,8.3,110.1,110.1,0.468
116,Klay Thompson,Dal,G,35.2,70.0,27.4,22.0,9.3,74.0,0.905,320.0,0.447,541.0,0.394,0.537,0.555,14.2,3.5,2.0,0.7,0.4,1.3,17.6,16.2,19.7,6.8,108.5,116.6,0.481
117,Tre Mann,Cha,G,24.2,13.0,24.5,26.0,13.4,21.0,0.905,101.0,0.455,60.0,0.4,0.509,0.537,14.1,2.9,3.0,0.5,0.3,1.9,17.0,17.1,20.0,8.1,105.4,114.5,0.241
118,Dillon Brooks,Hou,G-F,29.2,74.0,32.0,17.6,7.9,122.0,0.811,423.0,0.466,463.0,0.397,0.534,0.556,14.1,3.7,1.7,0.8,0.2,1.0,17.8,15.8,19.5,5.6,116.9,105.1,0.658
119,Fred VanVleet,Hou,G,31.1,59.0,35.3,17.5,10.1,133.0,0.82,293.0,0.43,453.0,0.344,0.483,0.515,14.1,3.7,5.6,1.6,0.4,1.4,17.8,19.6,23.4,7.5,116.9,107.6,0.658
120,Aaron Gordon,Den,F,29.6,48.0,28.0,18.5,13.4,168.0,0.804,288.0,0.569,157.0,0.452,0.608,0.651,14.1,4.8,3.3,0.4,0.3,1.4,18.9,17.3,22.2,8.7,128.2,115.0,0.595
121,Amen Thompson,Hou,G-F,22.2,68.0,32.3,17.4,16.6,243.0,0.683,598.0,0.597,90.0,0.278,0.573,0.601,14.0,8.2,3.8,1.4,1.3,2.0,22.3,17.9,26.1,9.4,120.9,104.4,0.658
122,Payton Pritchard,Bos,G,27.2,76.0,28.2,18.7,8.4,80.0,0.838,208.0,0.625,599.0,0.411,0.618,0.632,14.0,3.8,3.4,0.9,0.2,1.0,17.8,17.4,21.2,8.0,130.9,110.8,0.747
123,De'Andre Hunter,Cle,F-G,27.3,25.0,24.7,19.7,7.4,72.0,0.847,110.0,0.545,126.0,0.437,0.604,0.646,13.8,4.0,1.2,0.6,0.3,0.8,17.8,15.0,19.0,6.6,127.5,105.8,0.797
124,Josh Hart,Nyk,G,30.1,75.0,37.5,15.4,17.1,204.0,0.779,505.0,0.622,245.0,0.335,0.583,0.615,13.8,9.5,5.9,1.5,0.4,2.1,23.3,19.7,29.2,9.8,125.2,107.9,0.633
125,Jarrett Allen,Cle,C,27.0,78.0,28.4,15.9,13.1,267.0,0.723,617.0,0.716,4.0,0.0,0.712,0.729,13.8,9.8,1.9,0.9,0.9,1.2,23.6,15.7,25.6,9.0,141.6,106.6,0.797
126,Tobias Harris,Det,F,32.7,70.0,32.0,17.5,9.2,158.0,0.867,529.0,0.541,254.0,0.335,0.528,0.565,13.8,6.0,2.2,1.0,0.8,1.1,19.8,16.0,22.0,7.1,115.2,110.5,0.544
127,Bobby Portis,Mil,F,30.2,47.0,24.7,24.3,9.1,67.0,0.821,392.0,0.505,165.0,0.364,0.517,0.538,13.4,8.1,2.2,0.7,0.5,1.2,21.6,15.6,23.7,10.0,109.9,105.2,0.57
128,Russell Westbrook,Den,G,36.4,72.0,28.1,23.7,22.7,219.0,0.644,521.0,0.516,281.0,0.331,0.509,0.533,13.3,5.0,6.2,1.4,0.5,3.3,18.3,19.5,24.5,10.6,104.2,109.1,0.595
129,Naji Marshall,Dal,F,27.2,66.0,27.7,20.0,13.3,156.0,0.814,471.0,0.614,207.0,0.271,0.55,0.585,13.2,4.8,2.9,1.0,0.2,1.6,18.1,16.2,21.0,8.2,114.9,113.3,0.481
130,Onyeka Okongwu,Atl,F-C,24.3,71.0,27.6,17.2,11.2,204.0,0.75,517.0,0.636,136.0,0.316,0.603,0.633,13.2,8.8,2.3,0.9,0.9,1.2,22.0,15.5,24.3,9.3,128.9,108.7,0.468
131,Brook Lopez,Mil,C,37.0,77.0,32.1,15.8,9.6,134.0,0.821,388.0,0.642,361.0,0.374,0.603,0.627,13.2,5.1,1.8,0.6,1.9,1.0,18.2,15.0,20.1,6.2,122.8,110.6,0.57
132,Rui Hachimura,Lal,F,27.2,57.0,31.6,15.9,7.9,107.0,0.766,320.0,0.575,238.0,0.412,0.593,0.615,13.1,5.1,1.4,0.8,0.5,0.8,18.1,14.5,19.5,5.7,122.3,112.9,0.608
133,Alexandre Sarr,Was,C,20.0,63.0,27.2,23.3,12.1,156.0,0.667,452.0,0.454,324.0,0.315,0.461,0.485,13.0,6.5,2.3,0.7,1.5,1.7,19.5,15.3,21.8,8.5,99.0,114.4,0.215
134,Moritz Wagner,Orl,F-C,28.0,30.0,18.8,26.8,16.4,110.0,0.718,174.0,0.649,75.0,0.36,0.616,0.649,12.9,4.9,1.4,0.8,0.4,1.6,17.8,14.3,19.2,9.5,117.5,101.2,0.494
135,Kevin Huerter,Chi,G-F,26.6,23.0,30.2,17.6,9.1,19.0,0.737,94.0,0.543,164.0,0.366,0.547,0.556,12.9,3.3,2.9,1.2,0.3,1.1,16.1,15.8,19.0,6.6,109.8,114.6,0.456
136,D'Angelo Russell,Bro,G,29.1,29.0,24.7,25.9,15.1,92.0,0.826,135.0,0.467,192.0,0.297,0.454,0.508,12.9,2.8,5.6,1.1,0.7,2.0,15.7,18.4,21.2,9.5,107.6,110.4,0.329
137,Scoot Henderson,Por,G,21.2,66.0,26.7,22.6,20.5,206.0,0.767,388.0,0.469,297.0,0.354,0.496,0.54,12.7,3.0,5.1,1.0,0.2,2.7,15.7,17.8,20.8,8.7,107.0,109.8,0.443
138,Santi Aldama,Mem,F-C,24.2,62.0,25.5,18.8,9.8,93.0,0.699,317.0,0.599,312.0,0.365,0.574,0.587,12.7,6.5,2.9,0.8,0.5,1.1,19.2,15.5,22.1,9.7,121.7,111.7,0.595
139,Malcolm Brogdon,Was,G,32.3,24.0,23.5,23.7,13.7,92.0,0.88,184.0,0.478,56.0,0.286,0.467,0.544,12.7,3.8,4.1,0.5,0.2,1.6,16.5,16.8,20.6,9.9,112.9,119.2,0.215
140,Khris Middleton,Mil,F,33.7,23.0,23.2,22.0,14.9,46.0,0.848,125.0,0.584,86.0,0.407,0.595,0.627,12.6,3.7,4.4,0.7,0.2,1.6,16.3,17.0,20.7,10.2,121.0,105.7,0.57
141,Keegan Murray,Sac,F,24.6,74.0,34.5,15.0,6.8,70.0,0.829,363.0,0.565,440.0,0.348,0.541,0.556,12.5,6.6,1.4,0.8,0.9,0.8,19.2,14.0,20.6,5.6,116.4,112.6,0.494
142,Keldon Johnson,San,F-G,25.5,74.0,23.8,21.4,9.1,185.0,0.778,467.0,0.561,263.0,0.323,0.534,0.569,12.5,4.7,1.6,0.6,0.3,1.0,17.2,14.1,18.8,7.6,114.9,114.5,0.405
143,Zaccharie Risacher,Atl,F,20.0,71.0,24.8,20.8,10.6,141.0,0.723,416.0,0.529,324.0,0.346,0.524,0.547,12.4,3.6,1.3,0.7,0.5,1.2,16.0,13.6,17.3,6.2,106.8,113.4,0.468
144,D'Angelo Russell,Lal,G,29.1,29.0,26.3,22.1,13.8,53.0,0.849,143.0,0.51,168.0,0.333,0.505,0.537,12.4,2.8,4.7,0.8,0.1,1.7,15.1,17.0,19.8,8.3,109.5,111.8,0.608
145,Bilal Coulibaly,Was,G,20.7,59.0,33.0,17.9,16.7,185.0,0.746,400.0,0.5,224.0,0.281,0.472,0.515,12.3,5.0,3.4,1.3,0.7,2.1,17.3,15.7,20.7,7.2,102.7,116.9,0.215
146,Ayo Dosunmu,Chi,G,25.2,46.0,30.3,16.6,13.3,79.0,0.785,260.0,0.612,189.0,0.328,0.561,0.585,12.3,3.5,4.5,0.9,0.4,1.5,15.8,16.8,20.3,7.6,117.1,113.7,0.456
147,Jaden McDaniels,Min,F,24.5,78.0,32.1,16.2,9.7,124.0,0.823,504.0,0.558,292.0,0.336,0.538,0.563,12.3,5.8,2.0,1.4,0.9,1.1,18.1,14.3,20.1,6.5,116.0,105.4,0.582
148,Ty Jerome,Cle,G-F,27.8,68.0,19.8,23.4,13.0,145.0,0.869,348.0,0.572,243.0,0.428,0.601,0.638,12.3,2.5,3.3,1.1,0.0,1.3,14.8,15.6,18.1,9.4,126.8,108.6,0.797
149,Jabari Smith Jr.,Hou,F,21.9,57.0,30.1,16.4,9.9,126.0,0.825,289.0,0.519,277.0,0.354,0.525,0.562,12.2,7.0,1.1,0.4,0.7,1.1,19.3,13.3,20.3,6.0,116.9,106.3,0.658
150,Daniel Gafford,Dal,F-C,26.5,54.0,21.7,19.3,14.1,183.0,0.683,383.0,0.697,0.0,0.0,0.697,0.711,12.2,6.8,1.4,0.4,1.8,1.2,19.0,13.6,20.4,9.0,136.4,105.3,0.481
151,Georges Niang,Atl,F,31.8,25.0,23.5,19.8,10.6,29.0,0.793,76.0,0.5,167.0,0.407,0.576,0.592,12.1,3.2,1.7,0.4,0.2,1.2,15.3,13.8,17.0,6.9,111.9,110.3,0.468
152,Harrison Barnes,San,F,32.9,78.0,27.1,15.7,6.7,187.0,0.797,316.0,0.589,335.0,0.424,0.613,0.646,12.1,3.7,1.7,0.4,0.2,0.6,15.9,13.8,17.6,6.3,130.8,119.9,0.405
153,Tari Eason,Hou,F,23.9,55.0,25.0,19.2,10.5,101.0,0.772,358.0,0.559,178.0,0.343,0.544,0.569,12.0,6.4,1.4,1.7,0.9,1.1,18.4,13.4,19.8,7.6,118.0,100.5,0.658
154,Aaron Nesmith,Ind,G-F,25.5,42.0,25.0,17.3,9.0,71.0,0.915,168.0,0.595,184.0,0.429,0.621,0.655,12.0,3.9,1.2,0.8,0.4,0.8,15.8,13.2,17.0,6.1,123.7,108.7,0.608
155,Jalen Duren,Det,C,21.4,75.0,26.2,16.3,19.8,236.0,0.682,525.0,0.69,0.0,0.0,0.69,0.704,11.8,10.4,2.7,0.7,1.2,1.7,22.2,14.5,24.8,10.6,132.9,100.0,0.544
156,Moses Brown,Dal,C,25.5,4.0,18.3,21.6,14.5,6.0,0.833,29.0,0.724,0.0,0.0,0.724,0.743,11.8,7.8,0.5,1.0,0.8,1.3,19.5,12.3,20.0,7.8,130.1,96.5,0.481
157,Rudy Gobert,Min,C,32.8,68.0,33.0,12.8,15.7,250.0,0.676,468.0,0.667,0.0,0.0,0.667,0.686,11.7,10.9,1.8,0.8,1.5,1.3,22.5,13.4,24.3,7.4,136.3,105.0,0.582
158,Drew Timme,Bro,F,24.6,5.0,25.0,20.9,13.9,6.0,0.833,34.0,0.647,15.0,0.2,0.541,0.562,11.6,5.4,1.8,0.8,0.2,1.6,17.0,13.4,18.8,7.7,107.8,111.8,0.329
159,Corey Kispert,Was,F,26.1,61.0,26.3,17.5,10.2,88.0,0.852,235.0,0.574,330.0,0.364,0.558,0.584,11.6,3.0,1.7,0.4,0.2,1.0,14.5,13.2,16.2,5.9,112.2,119.8,0.215
