63,John Collins,Uta,*,F-C,27.5,40,30.5,24.2,16.2,164,0.848,383,0.577,148,0.399,0.583,0.628,19,8.2,2,1,1,2.6,27.1,21,29.1,8.9,115.2,111.7
64,Lauri Markkanen,Uta,*,F-C,27.9,47,31.4,24,8.6,185,0.876,301,0.525,399,0.346,0.521,0.571,19,5.9,1.5,0.7,0.4,1.4,24.9,20.5,26.4,7,114.8,118.6
65,Scottie Barnes,Tor,*,F-G,23.7,62,33,26.7,15,290,0.769,730,0.505,270,0.263,0.476,0.521,18.9,7.6,5.8,1.5,1,2.9,26.5,24.8,32.4,11.4,106.5,111.4
66,Jalen Johnson,Atl,*,F,23.3,36,35.7,22.5,16.3,126,0.746,402,0.565,141,0.312,0.54,0.568,18.9,10,5,1.6,1,2.9,28.9,23.9,33.9,11,109.5,111.8
67,Cameron Johnson,Bro,*,F,29.1,57,31.6,23,11.7,225,0.893,339,0.578,408,0.39,0.582,0.632,18.8,4.3,3.4,0.9,0.4,1.7,23.1,22.2,26.5,8.2,122.7,114.5
68,Julius Randle,Min,*,F-C,30.4,65,32.2,25.2,17,333,0.805,595,0.553,292,0.332,0.535,0.589,18.7,7,4.7,0.7,0.2,2.8,25.7,23.4,30.4,10.6,116.3,107
69,Nikola Vucevic,Chi,*,C,34.5,70,31.4,22.4,10.2,147,0.803,685,0.591,313,0.403,0.595,0.614,18.7,10.1,3.4,0.8,0.7,1.6,28.7,22.1,32.1,11,121.6,110.1
70,Evan Mobley,Cle,*,C,23.8,69,30.5,23.1,13.7,289,0.727,659,0.627,219,0.37,0.609,0.636,18.5,9.2,3.1,0.8,1.6,2,27.8,21.7,30.9,10.6,124,106.6
71,Tyrese Haliburton,Ind,*,G,25.1,71,33.6,21.6,10.7,207,0.855,435,0.579,544,0.388,0.581,0.614,18.5,3.5,9.3,1.5,0.6,1.6,22,27.8,31.3,10.1,130.2,116
72,Collin Sexton,Uta,*,G,26.3,62,28,26.9,15.5,248,0.863,583,0.515,270,0.407,0.545,0.595,18.5,2.8,4.2,0.7,0.1,2.5,21.2,22.6,25.4,8.6,114.6,117.7
73,Dennis Schroder,Bro,,G,31.6,23,33.6,23.8,15.3,81,0.889,175,0.509,150,0.387,0.542,0.588,18.4,3,6.6,1.1,0.2,2.6,21.4,25,28,8.5,116,113.3
74,Shaedon Sharpe,Por,*,G,21.9,71,31.2,25,11.8,232,0.797,621,0.556,460,0.307,0.515,0.549,18.3,4.5,2.7,0.8,0.2,2,22.7,21,25.5,7.8,109.2,114.9
75,Michael Porter Jr.,Den,*,F,26.8,74,33.8,20.3,9.1,186,0.769,541,0.601,473,0.393,0.596,0.616,18.3,7,2.2,0.7,0.5,1.4,25.2,20.5,27.4,7.8,121.3,113.6
76,O.G. Anunoby,Nyk,*,F-G,27.7,72,36.5,19.6,8.9,218,0.821,550,0.562,446,0.379,0.565,0.597,18.1,4.8,2.2,1.5,0.9,1.3,22.9,20.3,25.1,6.3,119.2,111.5
77,Bam Adebayo,Mia,*,C-F,27.7,76,34.4,23.6,12.8,317,0.767,874,0.518,212,0.344,0.518,0.558,18,9.6,4.3,1.3,0.7,2.1,27.6,22.3,32,10.5,114.5,107.4
78,Mikal Bridges,Nyk,*,G-F,28.6,78,37.5,19.6,10,111,0.811,695,0.594,450,0.356,0.57,0.585,17.9,3.2,3.7,0.9,0.5,1.6,21.1,21.6,24.8,6.4,116.2,116.3
79,Jaden Ivey,Det,*,G,23.1,30,29.9,26,17.7,116,0.733,259,0.49,154,0.409,0.536,0.569,17.6,4.1,4,0.9,0.4,3,21.7,21.6,25.7,8.8,107.3,110.6
80,Andrew Wiggins,Gol,,F,30.1,43,30.1,23.4,8.7,179,0.777,340,0.491,248,0.379,0.524,0.566,17.6,4.6,2.3,0.9,0.8,1.3,22.1,19.9,24.5,7.6,115.7,111.8
81,Dejounte Murray,Nor,*,G,28.5,31,32.7,27.3,17.5,124,0.823,320,0.444,174,0.299,0.445,0.494,17.5,6.5,7.4,2,0.4,3.4,23.9,24.8,31.3,11.5,101.4,114.3
82,Immanuel Quickley,Tor,*,G,25.8,32,28.2,25.3,11.8,128,0.867,212,0.462,220,0.377,0.515,0.569,17.4,3.6,5.9,0.7,0.1,1.8,21,23.3,26.9,10.2,118.8,113.5
83,Malik Monk,Sac,*,G,27.2,65,31.6,24.6,14.5,178,0.865,511,0.534,428,0.325,0.513,0.549,17.2,3.8,5.6,0.9,0.6,2.4,21,22.8,26.5,9.1,109.8,112.6
84,Jimmy Butler,Gol,*,F,35.6,26,32.5,20.7,12.6,187,0.866,230,0.513,62,0.258,0.486,0.596,17.2,5.9,5.8,1.7,0.3,1.6,23,23,28.9,10.3,131,113
85,Bradley Beal,Pho,*,G,31.8,50,32.2,22.2,12.5,132,0.795,415,0.564,241,0.382,0.567,0.594,17,3.4,3.6,1.1,0.6,1.9,20.4,20.6,24,7.4,113.8,115.4
86,Jimmy Butler,Mia,,F,35.6,25,30.6,21.1,10.2,161,0.801,227,0.568,36,0.361,0.565,0.638,17,5.2,4.8,1.1,0.4,1.2,22.3,21.8,27.1,9.8,135.8,114.4
87,Keyonte George,Uta,*,G,21.4,64,31.2,24.3,16.2,273,0.813,386,0.456,485,0.348,0.493,0.545,16.9,3.8,5.6,0.7,0.1,2.6,20.7,22.5,26.2,9.1,109.8,119.6
88,Deni Avdija,Por,*,F,24.3,72,30,23.2,18.8,372,0.78,502,0.552,342,0.365,0.55,0.605,16.9,7.3,3.9,1,0.5,2.7,24.2,20.8,28.1,10.4,115.7,109.2
89,Devin Vassell,San,*,G-F,24.6,62,31.1,22.2,8.7,119,0.798,455,0.512,415,0.371,0.533,0.555,16.5,4,2.9,1.3,0.5,1.3,20.5,19.4,23.4,7.4,109.8,115.5
90,Ivica Zubac,Lac,*,C,28.1,76,32.5,19.5,12.1,231,0.654,886,0.624,0,0,0.624,0.636,16.5,12.5,2.6,0.7,1.2,1.6,29.1,19.1,31.6,10,127.7,104.1
91,Derrick White,Bos,*,G,30.8,74,33.7,19.8,11.8,161,0.839,261,0.586,672,0.384,0.579,0.605,16.4,4.5,4.7,0.9,1,1.7,20.9,21.1,25.5,8.3,123.1,110.2
92,Jalen Suggs,Orl,*,G,23.8,35,28.6,27.5,17.5,110,0.882,239,0.506,242,0.314,0.489,0.536,16.2,4,3.7,1.5,0.9,2.9,20.2,19.9,23.9,8.7,100.9,102.7
93,Malik Beasley,Det,*,G,28.4,79,28,22.4,7.4,137,0.679,295,0.464,738,0.413,0.576,0.586,16.2,2.7,1.7,0.9,0.1,1,18.9,17.9,20.6,6,115.4,113.4
94,Jordan Clarkson,Uta,*,G,32.8,37,26,27.8,14.9,143,0.797,261,0.448,231,0.364,0.494,0.541,16.2,3.2,3.7,0.8,0.2,2.3,19.4,19.9,23.1,8.9,106.9,119.3
95,Paul George,Phi,*,F,34.9,41,32.5,23.5,15.7,97,0.814,302,0.493,268,0.358,0.514,0.543,16.2,5.3,4.3,1.8,0.5,2.6,21.6,20.6,25.9,8.8,104.2,112.3
96,Bennedict Mathurin,Ind,*,G-F,22.8,69,29.8,22.7,13.8,312,0.837,536,0.522,274,0.347,0.522,0.584,16,5.3,1.9,0.6,0.3,1.9,21.4,17.9,23.2,7.3,110.6,111.6
97,Myles Turner,Ind,*,C-F,29,69,30.4,20.7,13.1,223,0.776,404,0.559,381,0.402,0.58,0.614,15.7,6.6,1.6,0.8,1.9,1.7,22.3,17.3,23.8,7.2,113,109
98,Jonathan Kuminga,Gol,*,F,22.5,44,24.7,27.3,11,223,0.664,399,0.506,143,0.315,0.497,0.537,15.6,4.7,2.3,0.8,0.5,1.5,20.3,17.9,22.6,8.9,108.1,107.7
99,Mark Williams,Cha,*,C,23.3,42,26.6,21.3,12.9,163,0.804,421,0.62,3,0,0.616,0.659,15.5,10.2,2.5,0.7,1.2,1.5,25.7,18,28.2,11,129.3,106.3
100,Christian Braun,Den,*,G,24,76,33.9,15.8,9.2,204,0.824,576,0.646,217,0.396,0.632,0.663,15.4,5.2,2.5,1.1,0.5,1.1,20.6,17.9,23.1,6.9,131.1,113.6
101,Jared McCain,Phi,*,G,21.1,23,25.7,24.8,11.9,56,0.875,141,0.532,133,0.383,0.553,0.589,15.3,2.4,2.6,0.7,0,1.6,17.7,17.9,20.3,7.1,113.3,118
102,Kyle Kuzma,Was,,F,29.7,32,27.7,27,13.8,98,0.602,295,0.495,160,0.281,0.469,0.488,15.2,5.8,2.5,0.6,0.2,2.3,21,17.7,23.4,8.7,92.9,116.8
103,Kelly Oubre Jr.,Phi,*,F-G,29.3,60,34.6,19,9.7,185,0.751,499,0.555,242,0.293,0.518,0.551,15.1,6.1,1.8,1.5,0.5,1.3,21.2,16.9,23,6.4,111.1,112.3
104,Chet Holmgren,Okc,*,C-F,22.9,30,27.4,21.9,14.5,118,0.737,206,0.558,111,0.378,0.562,0.6,14.8,8.1,1.9,0.7,2.3,1.8,22.9,16.7,24.8,8.9,114.5,100.8
105,Caris LeVert,Atl,*,G,30.6,23,26.6,21.1,7.3,60,0.733,147,0.599,121,0.331,0.552,0.577,14.8,3.6,2.9,1,0.6,0.9,18.4,17.7,21.3,8.1,118.5,113.7
106,P.J. Washington,Dal,*,F,26.6,55,32.3,20.4,14.9,192,0.729,415,0.494,230,0.374,0.518,0.554,14.7,7.8,2.3,1.1,1.1,2.1,22.5,16.9,24.7,7.9,106.4,109.8
107,Stephon Castle,San,*,G,20.4,77,26.3,26.1,14.9,314,0.72,622,0.497,318,0.283,0.472,0.517,14.5,3.6,3.9,0.9,0.2,2.1,18.1,18.4,22.1,8.9,104.6,113.9
108,Jakob Poeltl,Tor,*,C,29.5,57,29.6,18.7,16.1,144,0.674,576,0.628,3,0.333,0.628,0.641,14.5,9.6,2.8,1.2,1.2,1.9,24.1,17.2,26.8,9.9,121,105
109,Gradey Dick,Tor,*,G-F,21.4,54,29.4,21,11.4,155,0.858,321,0.47,326,0.35,0.498,0.543,14.4,3.6,1.8,0.9,0.2,1.5,18,16.2,19.8,6.2,106.5,112.8
110,Josh Giddey,Chi,*,G,22.5,69,30.1,21.7,20.3,221,0.778,507,0.509,272,0.375,0.528,0.567,14.4,8,7.1,1.2,0.6,2.9,22.4,21.5,29.5,12.4,114.9,112.1
111,Deandre Ayton,Por,*,C,26.7,40,30.1,19.5,12.8,60,0.667,436,0.594,32,0.188,0.573,0.583,14.4,10.2,1.6,0.8,1,1.7,24.6,16,26.2,8.2,113.8,108.8
112,Kyle Kuzma,Mil,*,F,29.7,29,33.2,21.2,15.6,98,0.663,224,0.522,133,0.301,0.496,0.524,14.4,6,2.4,0.5,0.4,2.3,20.5,16.8,22.9,7.1,97.6,110.1
113,Jerami Grant,Por,*,F,31.1,47,32.4,19.5,10.2,166,0.849,278,0.381,296,0.365,0.467,0.523,14.4,3.5,2.1,0.9,1,1.4,17.9,16.6,20,5.8,108.9,113.7
114,Naz Reid,Min,*,C-F,25.6,76,27.6,21.6,10.6,137,0.766,438,0.541,444,0.383,0.558,0.578,14.3,6,2.3,0.8,0.9,1.4,20.3,16.6,22.6,8.4,114.2,104.8
115,Dyson Daniels,Atl,*,G,22.1,73,33.9,18.2,14,134,0.597,662,0.544,229,0.349,0.539,0.547,14.2,5.8,4.3,3,0.7,2,20.1,18.5,24.4,8.3,110.1,110.1
116,Klay Thompson,Dal,*,G,35.2,70,27.4,22,9.3,74,0.905,320,0.447,541,0.394,0.537,0.555,14.2,3.5,2,0.7,0.4,1.3,17.6,16.2,19.7,6.8,108.5,116.6
117,Tre Mann,Cha,*,G,24.2,13,24.5,26,13.4,21,0.905,101,0.455,60,0.4,0.509,0.537,14.1,2.9,3,0.5,0.3,1.9,17,17.1,20,8.1,105.4,114.5
118,Dillon Brooks,Hou,*,G-F,29.2,74,32,17.6,7.9,122,0.811,423,0.466,463,0.397,0.534,0.556,14.1,3.7,1.7,0.8,0.2,1,17.8,15.8,19.5,5.6,116.9,105.1
119,Fred VanVleet,Hou,*,G,31.1,59,35.3,17.5,10.1,133,0.82,293,0.43,453,0.344,0.483,0.515,14.1,3.7,5.6,1.6,0.4,1.4,17.8,19.6,23.4,7.5,116.9,107.6
120,Aaron Gordon,Den,*,F,29.6,48,28,18.5,13.4,168,0.804,288,0.569,157,0.452,0.608,0.651,14.1,4.8,3.3,0.4,0.3,1.4,18.9,17.3,22.2,8.7,128.2,115
121,Amen Thompson,Hou,*,G-F,22.2,68,32.3,17.4,16.6,243,0.683,598,0.597,90,0.278,0.573,0.601,14,8.2,3.8,1.4,1.3,2,22.3,17.9,26.1,9.4,120.9,104.4
122,Payton Pritchard,Bos,*,G,27.2,76,28.2,18.7,8.4,80,0.838,208,0.625,599,0.411,0.618,0.632,14,3.8,3.4,0.9,0.2,1,17.8,17.4,21.2,8,130.9,110.8
123,De'Andre Hunter,Cle,*,F-G,27.3,25,24.7,19.7,7.4,72,0.847,110,0.545,126,0.437,0.604,0.646,13.8,4,1.2,0.6,0.3,0.8,17.8,15,19,6.6,127.5,105.8
124,Josh Hart,Nyk,*,G,30.1,75,37.5,15.4,17.1,204,0.779,505,0.622,245,0.335,0.583,0.615,13.8,9.5,5.9,1.5,0.4,2.1,23.3,19.7,29.2,9.8,125.2,107.9
125,Jarrett Allen,Cle,*,C,27,78,28.4,15.9,13.1,267,0.723,617,0.716,4,0,0.712,0.729,13.8,9.8,1.9,0.9,0.9,1.2,23.6,15.7,25.6,9,141.6,106.6
126,Tobias Harris,Det,*,F,32.7,70,32,17.5,9.2,158,0.867,529,0.541,254,0.335,0.528,0.565,13.8,6,2.2,1,0.8,1.1,19.8,16,22,7.1,115.2,110.5
